No.,取得日,会社名,会社所在地,施設名称,施設所在地（勤務地),URL,抽出元URL
336.0,2024/02/12,株式会社ティーケーピー,東京都 新宿区市谷八幡町8番地 TKP市ヶ谷ビル2F,アパホテル博多東比恵駅前,福岡県 福岡市博多区東比恵2-16-13,https://www.apahotel.com/hotel/kyushu-okinawa/fukuoka/hakata-higashihie-ekimae/,https://www.hotelkyujin.com/hotel-detail?c_no=3548
337.0,2024/02/12,株式会社ティーケーピー,東京都 新宿区市谷八幡町8番地 TKP市ヶ谷ビル2F,アパホテル福岡天神西,福岡県 福岡市中央区大名1-9-39,https://www.apahotel.com/hotel/kyushu-okinawa/fukuoka/fukuoka-tenjin-nishi/,https://www.hotelkyujin.com/hotel-detail?c_no=3547
338.0,2024/02/12,株式会社ティーケーピー,東京都 新宿区市谷八幡町8番地 TKP市ヶ谷ビル2F,アパホテル上野広小路,東京都 千代田区外神田5-3-3,https://www.apahotel.com/hotel/syutoken/tokyo/ueno-hirokoji/,https://www.hotelkyujin.com/hotel-detail?c_no=3544
339.0,2024/02/12,株式会社DMCaizu,福島県 耶麻郡猪苗代町字葉山7105 さんすい,小豆温泉 花木の宿,福島県 南会津郡南会津町大桃平平沢山1041-1,https://kaboku-aizu.com/?locale=ja,https://www.hotelkyujin.com/hotel-detail?c_no=3549
340.0,2024/02/12,横浜ホスピタリティサービス株式会社,東京都 渋谷区恵比寿1丁目18番18号 東急不動産恵比寿ビル,ウェスティンホテル横浜,神奈川県 横浜市西区みなとみらい4-2-8,https://www.marriott.co.jp/hotels/travel/tyowy-the-westin-yokohama/,https://www.hotelkyujin.com/hotel-detail?c_no=3550
341.0,2024/02/12,株式会社景水,長野県 大町市平2884-13,緑翠亭 景水,長野県 大町市平2884-13,https://www.keisui.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3555
342.0,2024/02/12,京阪ホテルズ＆リゾーツ株式会社,京都府 京都市下京区東塩小路町680番地,琵琶湖ホテル,滋賀県 大津市浜町2-40,https://www.keihanhotels-resorts.co.jp/biwakohotel/,https://www.hotelkyujin.com/hotel-detail?c_no=3599
343.0,2024/02/12,サンフロンティアホテルマネジメント株式会社,東京都 千代田区有楽町1-2-2 東宝日比谷ビル8階,サンフロンティアホテルマネジメント株式会社本社,東京都 千代田区有楽町1-2-2 東宝日比谷ビル8階,https://www.sfhm.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3589
344.0,2024/02/12,株式会社東京イン,東京都 大田区北馬込2-31-6,東京イン,東京都 大田区北馬込2-31-6,https://www.tokyo-inn.co.jp,https://www.hotelkyujin.com/hotel-detail?c_no=527
345.0,2024/02/12,シーラックパル株式会社,東京都 港区新橋6丁目13-1 第三長谷川ビル4Ｆ,シーラックパル仙台,宮城県 仙台市若林区六丁の目東町5-12,https://www.sealuckpal.co.jp/sendai/,https://www.hotelkyujin.com/hotel-detail?c_no=1166
346.0,2024/02/12,東新宿・ホテル・オペレーションズ株式会社,東京都 港区愛宕２ー５ー１ 愛宕グリーンヒルズMORIタワー２７階,イーホテル東新宿,東京都 新宿区歌舞伎町２−３−１５,https://www.shinjukuhotel.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1173
347.0,2024/02/12,株式会社阪急阪神ホテルズ,東京都 港区新橋1-2-6 第一ホテル東京内,レム新大阪,大阪府 大阪市淀川区宮原1-1-1,https://www.hankyu-hotel.com/hotel/remm/shinosaka,https://www.hotelkyujin.com/hotel-detail?c_no=1180
348.0,2024/02/12,株式会社相鉄ホテルマネジメント,東京都 港区六本木三丁目10番1号,相鉄フレッサイン東京六本木,東京都 東京都港区六本木3-10-1,https://sotetsu-hotels.com/fresa-inn/roppongi/,https://www.hotelkyujin.com/hotel-detail?c_no=2420
349.0,2024/02/12,日本ホテル株式会社,東京都 豊島区西池袋1-6-1,JR東日本ホテルメッツ 船橋,千葉県 船橋市本町7-1-1,https://www.hotelmets.jp/funabashi/,https://www.hotelkyujin.com/hotel-detail?c_no=2445
350.0,2024/02/12,株式会社ナスパ,千葉県 成田市花崎町943-1,センターホテル成田1,千葉県 成田市花崎町922,https://www.c-hotel.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3553
351.0,2024/02/12,ダイワロイネットホテルズ株式会社,東京都 千代田区飯田橋2-18-2大和 ハウス九段ビル10F,DEL style 大阪東天満 by Daiwa Roynet Hotel,大阪府 大阪市北区東天満2-6-3,https://www.daiwaroynet.jp/higashitemma/,https://www.hotelkyujin.com/hotel-detail?c_no=2515
352.0,2024/02/12,ダイワロイネットホテルズ株式会社,東京都 千代田区飯田橋2-18-2 大和ハウス九段ビル10F,ダイワロイネットホテル金沢駅西口,石川県 金沢市広岡1-12-17,https://www.daiwaroynet.jp/kanazawa-ekinishi/,https://www.hotelkyujin.com/hotel-detail?c_no=3575
353.0,2024/02/12,ダイワロイネットホテルズ株式会社,東京都 千代田区飯田橋2-18-2 大和ハウス九段ビル10F,ダイワロイネットホテル名古屋伏見,愛知県 名古屋市中区栄1-5-21,https://www.daiwaroynet.jp/nagoyafushimi/,https://www.hotelkyujin.com/hotel-detail?c_no=3577
354.0,2024/02/12,ダイワロイネットホテルズ株式会社,東京都 千代田区飯田橋2-18-2 大和ハウス九段ビル10F,ダイワロイネットホテル大阪心斎橋,大阪府 大阪市中央区南船場3-9-8,https://www.daiwaroynet.jp/osaka-shinsaibashi/,https://www.hotelkyujin.com/hotel-detail?c_no=3581
355.0,2024/02/12,株式会社ミナシア,愛知県 名古屋市中区錦1−4−11,ホテルウィングインターナショナル名古屋,愛知県 名古屋市中区錦1−4−11,https://www.hotelwing.co.jp/nagoya/,https://www.hotelkyujin.com/hotel-detail?c_no=1232
356.0,2024/02/12,株式会社メンディップス,埼玉県 熊谷市桜木町一丁目１００番地,ホテルサンルート熊谷駅前,埼玉県 熊谷市桜木町一丁目１００番地,https://www.sunroute.jp/HotelInfo/kanto/kumagayaekimae/index.html,https://www.hotelkyujin.com/hotel-detail?c_no=3018
357.0,2024/02/12,株式会社池田ホテルマネジメント,富山県 富山県富山県富山市新富町一丁目1-10,ダブルツリーbyヒルトン富山,富山県 富山県富山市新富町一丁目1-10,http://doubletreetoyama.co.jp,https://www.hotelkyujin.com/hotel-detail?c_no=3709
358.0,2024/02/12,大和ハウスホテルマネジメント大阪城株式会社,大阪府 大阪市中央区大手前1-2-15,ダブルツリーbyヒルトン大阪城,大阪府 大阪市中央区大手前1-2-15 開業準備室,https://www.daiwahouse.com/about/release/house/20210804144851.html,https://www.hotelkyujin.com/hotel-detail?c_no=4146
359.0,2024/02/12,株式会社SHRホテルズ(ソラーレホテルズアンドリゾーツグループ),東京都 港区芝一丁目5番12号 TOP浜松町ビル,ソラーレホテルズアンドリゾーツグループ（首都圏エリア）,東京都 中央区銀座2-11-6 （勤務事業所による）,https://www.solarehotels.com/,https://www.hotelkyujin.com/hotel-detail?c_no=720
360.0,2024/02/12,ケン・プレミア・ホテル・マネジメント株式会社札幌支店,北海道 札幌市豊平区豊平4条1丁目1番1号,プレミアホテル-TSUBAKI-札幌,北海道 札幌市豊平区豊平4条1丁目1番1号,https://tsubaki.premierhotel-group.com/sapporo/,https://www.hotelkyujin.com/hotel-detail?c_no=4125
361.0,2024/02/12,株式会社ケン・ホテルマネジメント神戸,兵庫県 神戸市中央区中山手通3-1-19,神戸トアロード ホテル山楽,兵庫県 神戸市中央区中山手通3-1-19,https://sanraku.kenhotels.com/kobe/,https://www.hotelkyujin.com/hotel-detail?c_no=1810
362.0,2024/02/12,株式会社ユキ・コーポレーション,広島県 広島市中区鉄砲町５ー２０,アーバイン広島セントラル,広島県 広島市中区鉄砲町５ー２０,https://www.urbain-hotels.com/hce/index.html,https://www.hotelkyujin.com/hotel-detail?c_no=1497
363.0,2024/02/12,株式会社博多住吉ホテルマネジメント,福岡県 福岡市博多区住吉1-2-82,グランド ハイアット 福岡,福岡県 福岡市博多区住吉1-2-82 グランドハイアット福岡,https://www.hyatt.com/ja-JP/hotel/japan/grand-hyatt-fukuoka/fukgh,https://www.hotelkyujin.com/hotel-detail?c_no=752
364.0,2024/02/12,株式会社ベストホスピタリティーネットワーク,東京都 港区海岸1-16-2,ホテルインターコンチネンタル東京ベイ,東京都 港区海岸1-16-2,https://www.anaihghotels.co.jp/search/knt/ic-tyohb/,https://www.hotelkyujin.com/hotel-detail?c_no=1211
365.0,2024/02/12,リゾートトラスト株式会社,和歌山県 西牟婁郡白浜町才野字西山1670-76,エクシブ白浜＆アネックス,和歌山県 西牟婁郡白浜町才野字西山1670-76,https://xiv.jp/shira/,https://www.hotelkyujin.com/hotel-detail?c_no=1971
366.0,2024/02/12,株式会社横浜山下町オペレーションズ,神奈川県 横浜市中区山下町72,ホテルJALシティ関内 横浜,神奈川県 横浜市中区山下町72,https://www.kannai-yokohama.jalcity.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=424
367.0,2024/02/12,鹿島軽井沢リゾート株式会社,群馬県 吾妻郡長野原町北軽井沢2032-16,プレジデントリゾートホテル軽井沢,群馬県 吾妻郡長野原町北軽井沢2032-16,https://www.presidentresort.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2176
368.0,2024/02/12,株式会社オークラニッコーホテルマネジメント 立川事業所,東京都 立川市錦町1丁目12番1号,ホテル日航立川 東京,東京都 立川市錦町1丁目12番1号,https://hotelnikko-tachikawatokyo.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3611
369.0,2024/02/12,登大路ホテル株式会社,奈良県 奈良市登大路町40-1,登大路ホテル奈良,奈良県 奈良市登大路町40-1,https://noborioji.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3607
370.0,2024/02/12,株式会社こがね,千葉県 館山市藤原1495-1,別庭 雫花,千葉県 館山市塩見249-1,http://sizca.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3604
371.0,2024/02/12,ホテルモントレ株式会社,福岡県 福岡市中央区渡辺通3丁目4番13号,ホテルモントレ福岡,福岡県 福岡市中央区渡辺通3丁目4番13号,https://www.hotelmonterey.co.jp/fukuoka/,https://www.hotelkyujin.com/hotel-detail?c_no=3627
372.0,2024/02/12,株式会社知床第一ホテル,北海道 斜里郡斜里町ウトロ香川306,知床第一ホテル,北海道 斜里郡斜里町ウトロ香川306,https://shiretoko-1.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3626
373.0,2024/02/12,株式会社三四郎,静岡県 賀茂郡西伊豆町仁科2145 イル・アズーリ,イル・アズーリ,静岡県 賀茂郡西伊豆町仁科2145 イル・アズーリ,https://il-azzurri.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3625
374.0,2024/02/12,株式会社ティコムーン,東京都 渋谷区道玄坂1-12-1 渋谷マークシティW22階,グランピングリゾート　ヨーカブシ,沖縄県 石垣市伊原間2-737,http://yokabushi.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3619
375.0,2024/02/12,日本ホテル株式会社,東京都 豊島区西池袋１丁目６ー１,JR東日本ホテルメッツ大森,東京都 大田区大森北1-6-16 アトレ大森,https://www.hotelmets.jp/omori/,https://www.hotelkyujin.com/hotel-detail?c_no=3643
376.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 新宿野村證券ビル6F,賀茂川荘,広島県 竹原市西野町西湯坂445,https://kamogawaso.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3637
377.0,2024/02/12,スーパーホテルなんば・日本橋,大阪府 大阪市中央区日本橋1丁目20-5,スーパーホテルなんば・日本橋,大阪府 大阪市中央区日本橋1丁目20-5,https://www.superhotel.co.jp/s_hotels/nihonbashi/,https://www.hotelkyujin.com/hotel-detail?c_no=3636
378.0,2024/02/12,株式会社関西東急ホテルズ,大阪府 吹田市豊津町9番6号 カリーノ江坂内2階,新大阪江坂東急REIホテル,大阪府 吹田市豊津町9番6号 カリーノ江坂,https://www.tokyuhotels.co.jp/esaka-r/,https://www.hotelkyujin.com/hotel-detail?c_no=3635
379.0,2024/02/12,株式会社三井不動産ホテルマネジメント,東京都 中央区日本橋本町2-2-5,sequence SUIDOBASHI,東京都 東京都千代田区神田三崎町2丁目22-17,https://www.sequencehotels.com/suidobashi/,https://www.hotelkyujin.com/hotel-detail?c_no=3632
380.0,2024/02/12,GHS株式会社 ハカタギグランヒューリ,福岡県 福岡市博多区博多駅中央街9-1 KITTE博多11F,ハカタギグランヒューリ,福岡県 福岡市博多区博多駅中央街9-1 KITTE博多11F,https://hakatagi.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3657
381.0,2024/02/12,株式会社関東東急ホテルズ,東京都 港区愛宕1-6-6,吉祥寺エクセルホテル東急,東京都 武蔵野市吉祥寺本町2丁目4番14号,https://www.tokyuhotels.co.jp/information/88041/index.html,https://www.hotelkyujin.com/hotel-detail?c_no=3653
382.0,2024/02/12,株式会社マリモホールディングス,広島県 広島市西区庚午北1丁目17-23,セトノウツツ,山口県 大島郡周防大島町平野1184,http://setonoututu.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3652
383.0,2024/02/12,日和山観光株式会社,兵庫県 豊岡市瀬戸１０９０,ホテル金波楼,兵庫県 豊岡市瀬戸１０９０,https://www.kinparo.com,https://www.hotelkyujin.com/hotel-detail?c_no=3645
384.0,2024/02/12,株式会社グッドラック・コーポレーション,東京都 目黒区中目黒1ー1ー71 KN代官山2F,株式会社グッドラックコーポレーション,東京都 目黒区中目黒1-1-71 KN代官山2階,https://www.arluis.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3644
385.0,2024/02/12,エスアイエススターゲイトホテル株式会社,大阪府 泉佐野市りんくう往来北1番地,スターゲイトホテル関西エアポート,大阪府 泉佐野市りんくう往来北１番地,https://www.s-gth.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3667
386.0,2024/02/12,The COURT株式会社,東京都 港区赤坂2-5-1,EN HOTEL Hakata,福岡県 福岡県博多駅前3丁目30-25,https://en-hotel.com/hakata/ja/,https://www.hotelkyujin.com/hotel-detail?c_no=3664
387.0,2024/02/12,株式会社レンブラントホテルマネジメント,神奈川県 厚木市中町2-13-1レンブラントホテル厚木3階,レンブラントキャビン新宿新大久保,東京都 新宿区百人町1-4-15 8階,https://rembrandt-cabin.com/shin-okubo/,https://www.hotelkyujin.com/hotel-detail?c_no=3684
388.0,2024/02/12,セイルドオーシャン株式会社,山口県 柳井市南町４丁目１ー１,柳井クルーズホテル,山口県 柳井市南町４丁目１ー１,https://yanaicruise.co.jp/recommend/%e6%9f%b3%e4%ba%95%e5%b8%82%e3%81%a7%e3%81%ae-%e3%81%94%e5%ae%bf%e6%b3%8a%e3%81%aa%e3%82%89%e3%82%af%e3%83%ab%e3%83%bc%e3%82%ba%e3%83%9b%e3%83%86%e3%83%ab%e3%81%b8%ef%bc%81%ef%bc%81/,https://www.hotelkyujin.com/hotel-detail?c_no=3680
389.0,2024/02/12,沖縄GRGホテルズ株式会社,沖縄県 那覇市松山2-16-10,グランドキャビンホテル那覇小禄,沖縄県 那覇市宇栄原1-27-1,https://www.grandcabinhotel.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3702
390.0,2024/02/12,株式会社新門前,京都府 京都市東山区古西町324-10,THE SHINMONZEN,京都府 京都市東山区西之町235,https://theshinmonzen.com/jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3701
391.0,2024/02/12,株式会社八重山ホテル＆リゾート,沖縄県 八重山郡竹富町小浜2954,星野リゾート　リゾナーレ小浜島,沖縄県 八重山郡竹富町小浜2954,https://risonare.com/kohamajima/,https://www.hotelkyujin.com/hotel-detail?c_no=3699
392.0,2024/02/12,ホームライフ管理株式会社,東京都 渋谷区千駄ヶ谷4-19-12,オーキッドコート,兵庫県 神戸市東灘区西岡本2-7,https://www.homelife-kanri.com/company/,https://www.hotelkyujin.com/hotel-detail?c_no=3698
393.0,2024/02/12,株式会社アルカディアバケーションズ,東京都 千代田区丸の内1-11-1パシフィックセンチュリープレイス丸の内,アルカディアリゾート宮古島,沖縄県 宮古島市伊良部伊良部,https://miyako.arc-resort.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3695
394.0,2024/02/12,サンフロンティアホテルマネジメント株式会社,東京都 千代田区有楽町1-2-2 東宝日比谷ビル8階,たびのホテル飛騨高山,岐阜県 高山市松之木町13-1,https://hida-takayama.tabino-hotel.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3692
395.0,2024/02/12,有限会社コロン,鹿児島県 鹿児島市易居町7-13,吹上浜フィールドホテル,鹿児島県 いちき串木野市湊町1丁目101番地,https://ff-h.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3717
396.0,2024/02/12,サンフロンティア佐渡株式会社,新潟県 佐渡市千種79-3,たびのホテル佐渡,新潟県 佐渡市千種113-12,https://sado.tabino-hotel.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3716
397.0,2024/02/12,スターツホテル開発株式会社,千葉県 浦安市日の出1-1-1,ホテル エミオン 札幌,北海道 札幌市北区北8条西1丁目4番地,https://www.hotelemion-sapporo.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3715
398.0,2024/02/12,沖縄GRGホテルズ株式会社,沖縄県 那覇市辻3-2-36,那覇ビーチサイドホテル,沖縄県 那覇市辻3-2-36,https://www.nahabeachsidehotel.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3707
399.0,2024/02/12,株式会社タスクМホールディングス,北海道 千歳市幸町4丁目25番地の1,十勝川モール温泉 清寂房,北海道 河東郡音更町十勝川温泉南16丁目1番地19,https://seijyakubow.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3733
400.0,2024/02/12,株式会社ユキ・コーポレーション,東京都 大田区西蒲田 7-25-10 アーバイン東京・羽田 蒲田,アーバイン東京・羽田 蒲田,東京都 大田区西蒲田 7-25-10 アーバイン東京・羽田 蒲田,https://www.urbain-hotels.com/tkm/,https://www.hotelkyujin.com/hotel-detail?c_no=3729
401.0,2024/02/12,医療法人正眼堂 疋田歯科医院,愛知県 豊橋市駅前大通1-67,医療法人正眼堂　疋田歯科医院,愛知県 豊橋市駅前大通1-67,https://www.seigando.or.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3728
402.0,2024/02/12,株式会社大三,茨城県 つくば市筑穂2-1-2 アーバンホテルつくば,アーバンホテルつくば,茨城県 つくば市筑穂2-1-2,https://www.urbanhotel.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3724
403.0,2024/02/12,株式会社奥会津昭和村振興公社,福島県 大沼郡昭和村下中津川字中島611,昭和温泉 しらかば荘,福島県 大沼郡昭和村野尻字廻り戸1178,https://karamushi.co.jp/shirakabasou/,https://www.hotelkyujin.com/hotel-detail?c_no=3723
404.0,2024/02/12,株式会社京都第一ホテル,京都府 京都市南区東九条下殿田町45,京都第一ホテル,京都府 京都市南区東九条下殿田町45,https://www.kyoto-1-hotel.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3719
405.0,2024/02/12,株式会社キャッスルインホテル＆リゾート,三重県 伊勢市二見町茶屋537-20,ホテルキャッスルイン四日市,三重県 四日市市赤堀新町1-20,https://www.castleinn.co.jp/yokkaichi/,https://www.hotelkyujin.com/hotel-detail?c_no=3747
406.0,2024/02/12,社会医療法人 社団 カレスサッポロ,北海道 札幌市中央区北１条東1丁目２番５号 カレスサッポロビル８階,ホテル プレミアム・レイク トーヤ,北海道 虻田郡洞爺湖町洞爺湖温泉212-3,https://premium-lake-toya.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3745
407.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 新宿野村證券ビル6階,熱海風雅,静岡県 熱海市梅園町16-8,https://www.atami-fuga.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3739
408.0,2024/02/12,株式会社 瀬美温泉,岩手県 北上市和賀町岩崎新田１ー１２８ー２,美人の湯 瀬美温泉,岩手県 北上市和賀町岩崎新田１ー１２８ー２,http://www.semi-onsen.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3738
409.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 新宿野村證券ビル6階,ゆとりろ蓼科withDOGS,長野県 茅野市豊平チェルトの森柳川5-2-10,https://yutorelo-tateshina.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3758
410.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 新宿野村證券ビル6階,ゆるり西伊豆,静岡県 伊豆市土肥349-2,https://yururi-nishiizu.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3757
411.0,2024/02/12,株式会社キャッスルインホテル＆リゾート,三重県 伊勢市二見町茶屋537-20,ホテルキャッスルイン伊勢夫婦岩,三重県 伊勢市二見町茶屋537-20 ホテルキャッスルイン伊勢夫婦岩,https://www.castleinn.co.jp/meotoiwa/,https://www.hotelkyujin.com/hotel-detail?c_no=3756
412.0,2024/02/12,株式会社キャッスルインホテル＆リゾート,三重県 伊勢市二見町茶屋537-20,ホテルキャッスルイン伊勢,三重県 伊勢市神久3-5-55 ホテルキャッスルイン伊勢,https://www.castleinn.co.jp/ise/,https://www.hotelkyujin.com/hotel-detail?c_no=3755
413.0,2024/02/12,株式会社フィルド,北海道 札幌市中央区南二条西1丁目7-8 山口中央ビル4F,あらたし みなかみ,群馬県 利根郡みなかみ町湯原740-3,https://aratashi.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3752
414.0,2024/02/12,ユアリゾート株式会社,東京都 中野区東中野2-22-21,ユアリゾート株式会社（グランビュー岩井、グランビュー熱海、ガーランドコート宇佐美）,静岡県 熱海市咲見町8-9,https://www.grandview-atami.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3751
415.0,2024/02/12,株式会社SHRホテルズ(ソラーレホテルズアンドリゾーツグループ),東京都 港区芝1-5-12 TOP浜松町ビル5階,ソラーレホテルズアンドリゾーツグループ（京都エリア）,京都府 京都市下京区夷之町730,https://www.solarehotels.com/hotel/#KIN,https://www.hotelkyujin.com/hotel-detail?c_no=3778
416.0,2024/02/12,株式会社JHAT,東京都 港区虎ノ門4-3-1 城山トラストタワー 21階 Wework内,hotel MONday Premium 豊洲,東京都 江東区東雲1-2-11,https://hotel-monday.com/toyosu/,https://www.hotelkyujin.com/hotel-detail?c_no=3775
417.0,2024/02/12,なごみホテルズ合同会社,大阪府 大阪市中央区南本町2-3-7,コートヤード・バイ・マリオット大阪本町,大阪府 大阪市中央区南本町2-3-7,https://www.marriott.co.jp/hotels/travel/osaco-courtyard-osaka-honmachi/,https://www.hotelkyujin.com/hotel-detail?c_no=3774
418.0,2024/02/12,アンドリゾート株式会社,和歌山県 東牟婁郡那智勝浦町勝浦216-19,旅荘　海の蝶,三重県 伊勢市二見町松下1693,http://www.uminochou.com,https://www.hotelkyujin.com/hotel-detail?c_no=3770
419.0,2024/02/12,株式会社FLSコーポレーション,東京都 江東区冬木6-18 ウサミマンション1階,ZURRIOLA,東京都 中央区銀座6-8-7 交詢ビル 4階,http://zurriola.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3764
420.0,2024/02/12,株式会社インザドリーム,神奈川県 足柄下郡湯河原町宮上206,三輪湯河原,神奈川県 足柄下郡湯河原町宮上206,https://miwayugawara.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3792
421.0,2024/02/12,ミナトクリエイト株式会社,大阪府 大阪市中央区南船場４丁目１３番１号,Just Sleep 大阪心斎橋,大阪府 大阪市中央区南船場４丁目１３番１号 ミナトクリエイト株式会社 ホテル事業部,https://www.justsleephotels.com/main/jp,https://www.hotelkyujin.com/hotel-detail?c_no=3787
422.0,2024/02/12,株式会社HERM,東京都 港区北青山2-12-4-304,Andaru Collection Niseko,北海道 虻田郡倶知安町樺山217-8,https://www.glamping-hokkaido.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3783
423.0,2024/02/12,株式会社三井不動産ホテルマネジメント,東京都 中央区日本橋本町2-2-5,後楽ガーデンホテル,東京都 文京区後楽1-5-3,https://korakugardenhotel.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3781
424.0,2024/02/12,株式会社クレドインターナショナル,東京都 新宿区西新宿1-13-12 西新宿昭和ビル10階,庵SPA 熱海,静岡県 熱海市東海岸町6-45 熱海パールスターホテル,https://pearlstar.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3808
425.0,2024/02/12,桜通合同会社,東京都 港区愛宕2-5-1,トラベロッジ名古屋栄,愛知県 名古屋市中区錦3-1-22,https://www.travelodgehotels.asia/travelodge-nagoya-sakae/jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3803
426.0,2024/02/12,株式会社ホライズン・ホテルズ,石川県 金沢市昭和町１６ー３,ANAクラウンプラザホテル金沢,石川県 金沢市昭和町１６ー３,http://www.anacrowneplaza-kanazawa.jp,https://www.hotelkyujin.com/hotel-detail?c_no=3801
427.0,2024/02/12,エンブレムホテル株式会社,東京都 港区南麻布2-8-5-802,エンブレムフロー箱根,神奈川県 足柄下郡箱根町強羅1320-179,https://emblemflow.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3822
428.0,2024/02/12,合同会社エス・ホテルオペレーションズ飛騨高山,東京都 千代田区丸の内1-8-3,メルキュール飛騨高山,岐阜県 高山市花里町4-311-1 メルキュール飛騨高山,https://mercurehidatakayama.jbplt.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3818
429.0,2024/02/12,株式会社せとうち旅館,広島県 尾道市山波町678-1,Ryokan尾道西山,広島県 尾道市山波町678-1,https://o-nishiyama.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3817
430.0,2024/02/12,北軽井沢開発株式会社,群馬県 吾妻郡長野原町北軽井沢2032,軽井沢高原ゴルフ倶楽部,群馬県 吾妻郡長野原町北軽井沢2032,https://www.karuizawa-kogen.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3814
431.0,2024/02/12,株式会社カイラニ,東京都 大島町差木地1027ー10 ホテルカイラニ,ホテルカイラニ（Hotel Kailani),東京都 大島町差木地1027-10,https://hotelkailani.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3836
432.0,2024/02/12,株式会社フォーラムホテル,岐阜県 大垣市万石2丁目31番地,大垣フォーラムホテル,岐阜県 大垣市万石2丁目31番地,https://www.forumhotel.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3833
433.0,2024/02/12,株式会社Nook,兵庫県 南あわじ市灘土生297番地,Nook,兵庫県 南あわじ市灘土生２９７番地,https://www.noooooook.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3830
434.0,2024/02/12,株式会社WeBase,東京都 千代田区霞が関3-2-1 霞が関コモンゲート36階,WeBase 高松,香川県 高松市瓦町1-2-3,https://we-base.jp/takamatsu/,https://www.hotelkyujin.com/hotel-detail?c_no=3853
435.0,2024/02/12,株式会社WeBase,東京都 千代田区霞が関千代田区霞が関3-2-1 霞が関コモンゲート36階,WeBase 博多,福岡県 福岡市博多区店屋町５−９,https://we-base.jp/hakata/,https://www.hotelkyujin.com/hotel-detail?c_no=3852
436.0,2024/02/12,株式会社WeBase,東京都 千代田区霞が関3-2-1 霞が関コモンゲート36階,WeBase 広島,広島県 広島市中区中町4番16号,https://we-base.jp/hiroshima/,https://www.hotelkyujin.com/hotel-detail?c_no=3851
437.0,2024/02/12,株式会社強羅花壇,東京都 港区芝3-5-2 FUSEBLDG.1 2階,強羅花壇,神奈川県 足柄下郡箱根町強羅1300,https://www.gorakadan.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3849
438.0,2024/02/12,イズモ株式会社,静岡県 浜松市中区三組町185-1,エストリアル,静岡県 浜松市中区鍛冶町321-5,https://www.estreal.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3846
